gene_id,EC
PAS_chr2-1_0855,2.7.11.1
PAS_chr1-1_0340,2.7.11.1
PAS_chr3_0112,2.7.11.1
PAS_chr4_0037,2.7.11.1
PAS_chr4_0313,2.7.11.1
PAS_chr2-1_0557,2.7.11.1
PAS_c131_0004,2.7.11.1
PAS_chr3_0127,2.7.11.1
PAS_chr3_1061,2.7.11.1
PAS_chr4_0195,2.7.11.1
PAS_chr4_0585,2.7.11.1
PAS_chr2-1_0347,2.7.11.1
PAS_chr2-1_0641,2.7.11.1
PAS_chr3_0624,2.7.11.1
PAS_chr3_1104,2.7.11.1
PAS_chr1-4_0069,2.7.11.1
PAS_chr1-3_0143,2.7.11.1
PAS_chr4_0568,2.7.11.1
PAS_chr4_0404,2.7.11.1
PAS_chr3_0217,3.1.3.16
PAS_chr2-1_0407,3.1.3.16
PAS_chr1-4_0298,3.1.3.16
PAS_chr1-1_0153,3.1.3.16
PAS_chr4_0986,3.1.3.16
PAS_c131_0016,3.1.3.16
PAS_chr1-4_0280,3.1.3.16
PAS_chr3_0414,3.1.3.16
PAS_chr4_0453,3.1.3.16
PAS_chr4_0893,3.1.3.16
PAS_chr3_0608,3.1.3.16
PAS_chr1-1_0307,3.1.3.16
PAS_chr2-1_0635,3.1.3.16
PAS_chr2-1_0845,3.1.3.16
PAS_chr3_0241,3.1.3.16
PAS_chr1-4_0523,3.1.3.16
PAS_c131_0017,2.4.1.15 2.4.1.347
PAS_chr4_0336,1.1.1.283
PAS_chr3_0449,1.1.1.283
PAS_chr3_0448,1.1.1.283
PAS_chr3_0446,1.1.1.283
PAS_chr3_0014,1.1.1.283
PAS_chr3_0447,1.1.1.283
PAS_chr3_0037,2.8.1.7
PAS_chr3_0039,1.1.1.85
PAS_chr2-1_0872,2.7.11.24
PAS_chr3_0041,2.7.11.24
PAS_chr4_0530,2.7.11.24
PAS_chr3_0895,2.7.11.24
PAS_chr1-3_0232,2.7.11.24
PAS_chr2-1_0469,2.3.2.26
PAS_chr2-1_0164,2.3.2.26
PAS_chr1-1_0363,2.3.2.26
PAS_chr2-1_0354,2.3.2.26
PAS_chr3_0044,2.3.2.26
PAS_chr3_0052,2.7.6.2
PAS_chr3_0053,1.14.18.9
PAS_chr3_0058,1.18.1.6
PAS_chr3_0062,2.7.6.1
PAS_chr2-2_0174,2.7.6.1
PAS_chr1-1_0436,2.7.6.1
PAS_chr1-1_0006,2.7.6.1
PAS_c157_0002,1.8.4.11
PAS_chr3_0066,1.8.4.11
PAS_chr3_0761,2.3.1.7
PAS_chr3_0069,2.3.1.7
PAS_chr3_0072,2.7.1.174
PAS_chr3_0082,4.2.1.11
PAS_chr3_0085,4.1.1.21
PAS_chr4_0314,4.1.1.-
PAS_chr3_0095,4.1.1.-
PAS_chr3_0107,3.2.1.14
PAS_chr4_0174,3.4.19.12
PAS_chr2-2_0057,3.4.19.12
PAS_chr1-4_0585,3.4.19.12
PAS_chr2-2_0203,3.4.19.12
PAS_chr3_0117,3.4.19.12
PAS_chr3_0933,3.4.19.12
PAS_chr1-4_0341,3.4.19.12
PAS_chr1-1_0040,3.4.19.12
PAS_chr3_0853,3.4.19.12
PAS_chr4_0022,3.4.19.12
PAS_chr1-1_0435,3.4.19.12
PAS_chr1-3_0261,3.4.19.12
PAS_chr3_0605,3.4.19.12
PAS_chr3_0124,1.14.14.17
PAS_chr3_0129,2.3.2.-
PAS_chr3_0384,2.3.2.-
PAS_chr3_0130,2.1.1.100
PAS_chr3_0134,4.2.1.70 2.7.1.83
PAS_chr3_0142,2.1.1.312
PAS_chr3_0144,6.1.1.20
PAS_chr1-4_0558,6.1.1.20
PAS_chr4_0276,6.1.1.20
PAS_chr3_0156,1.1.1.302
PAS_chr2-2_0245,6.1.1.2
PAS_chr3_0165,6.1.1.2
PAS_chr3_0166,6.1.1.19
PAS_chr3_0167,4.1.99.12
PAS_chr3_0176,2.3.1.35 2.3.1.1
PAS_chr3_0181,1.1.1.38
PAS_chr1-3_0227,2.4.1.-
PAS_chr3_0882,2.4.1.-
PAS_c034_0032,2.4.1.-
PAS_chr3_0929,2.4.1.-
PAS_chr3_0999,2.4.1.-
PAS_chr4_0450,2.4.1.-
PAS_chr2-2_0039,2.4.1.-
BMT4 PAS_chr4_0471,2.4.1.-
PAS_chr3_0787,2.4.1.-
PAS_chr1-3_0226,2.4.1.-
PAS_chr3_0515,2.4.1.-
PAS_chr2-2_0036,2.4.1.-
PAS_chr3_1162,2.4.1.-
PAS_chr3_0370,2.4.1.-
PAS_chr3_0184,2.4.1.-
PAS_chr3_0306,2.4.1.-
BMT1 PAS_chr4_0451,2.4.1.-
PAS_chr4_0451,2.4.1.-
PAS_c034_0037,2.4.1.-
PAS_chr3_0620,2.4.1.-
PAS_chr3_0215,2.4.1.-
PAS_chr3_0386,2.4.1.-
PAS_chr4_0471,2.4.1.-
BMT2 PAS_chr4_0450,2.4.1.-
PAS_chr4_0544,2.4.1.-
BMT3 PAS_chr1-4_0696,2.4.1.-
PAS_chr2-1_0549,2.4.1.-
PAS_chr3_0186,4.3.1.18
PAS_chr3_0188,4.1.1.1
PAS_chr3_1254,2.7.11.-
PAS_chr1-1_0202,2.7.11.-
PAS_chr4_0682,2.7.11.-
PAS_chr3_0940,2.7.11.-
PAS_chr4_0076,2.7.11.-
PAS_chr3_0360,2.7.11.-
PAS_chr3_0791,2.7.11.-
PAS_chr1-1_0297,2.7.11.-
PAS_chr4_0260,2.7.11.-
PAS_chr3_0195,2.7.11.-
PAS_chr3_0752,2.7.11.-
PAS_chr4_0756,2.7.11.-
PAS_chr3_0198,3.6.1.75 3.1.3.4
PAS_chr4_0856,3.4.24.-
PAS_chr3_0200,3.4.24.-
PAS_chr4_0889,3.4.24.-
PAS_chr3_0468,3.4.24.-
PAS_chr3_0213,2.1.1.211
PAS_chr3_0214,2.7.11.22
PAS_chr4_0950,2.7.11.22
PAS_chr3_0216,6.3.4.5
PAS_chr3_0218,2.3.1.22
PAS_chr3_0469,2.7.11.25
PAS_chr3_0220,2.7.11.25
PAS_chr3_0222,4.2.1.134
PAS_chr1-3_0133,4.2.1.134
PAS_chr3_1128,2.3.1.48
PAS_chr3_0749,2.3.1.48
PAS_chr4_0084,2.3.1.48
PAS_chr2-2_0213,2.3.1.48
PAS_chr3_0228,2.3.1.48
PAS_chr3_0345,2.3.1.48
PAS_chr3_0231,2.4.1.123
PAS_chr3_0234,2.3.1.256
PAS_chr3_0602,2.3.1.199
PAS_chr3_1250,2.3.1.199
PAS_chr3_0236,2.3.1.199
PAS_chr3_0242,5.6.2.1
PAS_chr1-1_0242,5.6.2.1
PAS_chr3_0243,2.7.11.21
PAS_chr3_0252,3.1.1.13
PAS_chr3_0253,3.1.2.1
PAS_chr2-1_0493,2.7.4.3
PAS_chr3_0257,2.7.4.3
ADK1 PAS_chr3_0257,2.7.4.3
PAS_chr3_0262,2.7.4.9
PAS_chr3_0264,4.98.1.1 4.99.1.9
PAS_chr3_0271,2.3.1.51 2.3.1.23 2.3.1.-
PAS_chr3_0273,3.6.1.59
PAS_chr3_0277,1.1.1.44 1.1.1.343
PAS_chr3_1123,3.6.5.-
PAS_chr3_1006,3.6.5.-
SEY1 PAS_chr3_0279,3.6.5.-
PAS_chr3_0698,3.6.5.-
PAS_chr3_0279,3.6.5.-
SAR1 PAS_chr1-1_0180,3.6.5.-
PAS_chr3_0281,3.6.1.52
PAS_chr3_0283,3.5.1.4
PAS_chr3_0285,6.1.1.18
COQ2 PAS_chr3_0291,2.5.1.39
PAS_chr3_0291,2.5.1.39
PAS_chr3_0294,2.7.2.11
PAS_FragB_0008,3.1.4.-
PAS_chr3_0305,3.1.4.-
PAS_chr3_0317,2.5.1.21
PAS_FragD_0015,2.1.1.-
PAS_chr4_0027,2.1.1.-
SPB1 PAS_chr4_0464,2.1.1.-
PAS_chr2-1_0517,2.1.1.-
BMT2 PAS_chr4_0729,2.1.1.-
PAS_chr4_0615,2.1.1.-
PAS_chr3_1002,2.1.1.-
PAS_chr3_0789,2.1.1.-
PAS_chr3_0558,2.1.1.-
EFM4 PAS_chr4_0615,2.1.1.-
PAS_chr3_0319,2.1.1.-
PAS_chr1-4_0328,2.1.1.-
EFM5 PAS_chr1-4_0602,2.1.1.-
PAS_chr4_0090,2.1.1.-
PAS_chr4_0653,2.1.1.-
PAS_chr3_0470,2.1.1.-
PAS_chr4_0460,2.1.1.-
PAS_chr1-4_0106,2.1.1.-
EFM7 PAS_chr3_1002,2.1.1.-
PAS_chr2-1_0615,2.1.1.-
PAS_chr4_0464,2.1.1.-
PAS_chr4_0808,2.1.1.-
PAS_chr3_0330,2.1.1.145
PAS_chr3_0332,1.14.11.48
PAS_chr2-1_0150,1.8.3.2
PAS_chr3_0338,1.8.3.2
PAS_chr3_0342,3.6.4.6
PAS_chr3_0644,3.6.4.13
PAS_chr1-4_0356,3.6.4.13
PAS_chr4_0961,3.6.4.13
PAS_chr3_0818,3.6.4.13
PAS_chr3_0738,3.6.4.13
PAS_chr1-3_0272,3.6.4.13
PAS_chr4_0140,3.6.4.13
PAS_chr4_0966,3.6.4.13
PAS_chr1-4_0592,3.6.4.13
PAS_chr3_0496,3.6.4.13
PAS_chr4_0030,3.6.4.13
PAS_chr1-4_0191,3.6.4.13
PAS_chr4_0728,3.6.4.13
PAS_chr3_0629,3.6.4.13
PAS_chr3_0344,3.6.4.13
PAS_chr4_0250,3.6.4.13
PAS_chr4_0201,3.6.4.13
PAS_chr1-1_0061,3.6.4.13
PAS_chr3_0672,3.6.4.13
PAS_chr4_0231,3.6.4.13
PAS_chr3_1118,3.6.4.13
PAS_chr3_0349,1.1.1.381 1.1.1.-
PAS_chr3_0354,3.1.3.64 3.1.3.95
PAS_chr3_0357,2.4.1.80
PAS_chr3_0779,2.3.2.23
PAS_chr3_0710,2.3.2.23
PAS_chr4_0429,2.3.2.23
PAS_chr3_0709,2.3.2.23
PAS_chr3_0359,2.3.2.23
PAS_chr3_0924,2.3.2.23
PAS_chr4_0496,2.3.2.23
PAS_chr3_0360,2.7.11.2
PAS_chr4_0756,2.7.11.2
PAS_chr3_0361,3.5.1.19
PAS_chr3_0369,2.3.-.-
PAS_chr3_0371,2.1.1.41
PAS_chr3_0375,2.7.11.22 2.7.11.23
PAS_chr3_0376,6.1.1.14
PAS_chr3_1184,1.6.99.1
PAS_chr3_0377,1.6.99.1
PAS_chr3_0381,4.1.1.23
PAS_chr3_0388,3.4.11.18
MAP2 PAS_chr2-2_0159,3.4.11.18
PAS_chr3_0399,2.7.1.91
PAS_chr3_0403,6.2.1.1
PAS_chr2-1_0767,6.2.1.1
PAS_chr3_0404,1.8.4.14
PAS_chr3_0406,1.4.3.1
PAS_chr3_0410,2.6.1.13
PAS_chr3_0417,4.1.1.17
PAS_chr3_0419,3.4.17.-
PAS_chr3_0425,1.14.18.5
PAS_chr3_0432,3.1.13.-
PAS_chr3_0846,3.1.13.-
PAS_chr3_0443,2.1.1.219 2.1.1.220
PAS_chr3_1129,3.4.25.1
PAS_chr3_0748,3.4.25.1
PAS_chr2-1_0122,3.4.25.1
PAS_chr4_0066,3.4.25.1
PAS_chr4_0776,3.4.25.1
PAS_chr3_0699,3.4.25.1
PAS_chr4_0668,3.4.25.1
PAS_chr3_0450,3.4.25.1
PAS_chr4_0506,3.4.25.1
PAS_chr3_0456,5.3.1.9
PAS_chr3_0459,2.7.12.1
PAS_chr3_0873,2.7.12.1
PAS_chr3_1254,2.7.12.1
PAS_chr3_0462,6.1.1.7
ALA1 PAS_chr3_0462,6.1.1.7
PAS_chr3_0466,2.1.1.309
PAS_chr3_0467,2.3.1.26
PAS_chr3_0471,1.2.1.11
PAS_chr3_0482,2.6.1.2
PAS_chr3_0506,4.2.3.4 4.2.1.10 1.1.1.25 2.7.1.71 2.5.1.19
PAS_chr3_0507,1.14.19.41
PAS_chr3_0512,3.1.3.4
PAS_chr3_0528,1.5.1.10
PAS_chr3_0535,1.14.18.6
PAS_chr3_0552,2.4.1.117
PAS_chr3_0561,2.3.2.2 3.4.19.13
PAS_chr3_0566,2.6.1.52
PAS_chr3_0568,2.7.7.6
PAS_chr2-1_0125,2.7.7.6
PAS_chr1-4_0022,2.7.7.6
PAS_chr4_0302,2.7.7.6
PAS_chr1-4_0324,2.7.7.6
PAS_chr4_0239,2.7.7.6
PAS_chr2-2_0387,2.7.7.6
PAS_chr3_0569,6.3.4.9 6.3.4.10 6.3.4.11 6.3.4.15
PAS_chr3_0570,2.7.8.41
PAS_chr3_0579,1.1.5.3
PAS_chr2-2_0462,7.1.1.2
PAS_chr3_0585,7.1.1.2
PAS_chr3_0619,7.1.1.2
PAS_chr4_0120,7.1.1.2
PAS_chr3_0808,7.1.1.2
PAS_chr3_0587,3.1.11.2
PAS_chr3_0810,3.1.11.2
PAS_chr3_0591,3.5.1.1
PAS_chr2-2_0481,3.5.1.1
PAS_chr3_0593,2.1.1.35
PAS_chr3_0597,3.1.3.-
PAS_chr1-4_0123,3.1.3.-
PAS_chr3_0604,2.7.1.15
RBK1 PAS_chr3_0604,2.7.1.15
PAS_chr3_0609,3.6.1.74
PAS_chr3_0616,2.1.1.85
PAS_chr1-1_0273,3.1.3.48
PAS_chr3_0618,3.1.3.48
PAS_chr1-3_0193,3.1.3.48
PAS_chr3_0729,3.1.3.48
PAS_chr1-4_0081,3.1.3.48
PAS_chr3_0622,6.5.1.3
PAS_chr3_0623,2.1.3.3
PAS_chr3_0630,2.7.1.158
PAS_chr1-3_0104,4.2.1.-
PAS_chr3_0631,4.2.1.-
PAS_chr3_0659,4.2.1.-
PAS_chr3_0632,2.1.1.228
TRM5 PAS_chr3_0632,2.1.1.228
PAS_chr3_0634,4.2.1.20
PAS_chr2-1_0679,4.2.1.20
PAS_chr1-4_0522,3.4.22.-
PAS_chr4_0834,3.4.22.-
PAS_chr3_0635,3.4.22.-
PAS_chr3_0636,2.5.1.58
PAS_chr3_0646,3.1.4.4
PAS_chr3_0647,4.2.1.2
THI4 PAS_chr3_0648,2.4.2.60
PAS_chr3_0648,2.4.2.60
PAS_chr3_0657,3.6.4.13 5.6.2.3
PAS_chr3_0667,2.7.1.25
PAS_chr3_0674,1.1.99.40
PAS_chr3_0675,6.3.5.4
PAS_chr3_0676,2.7.7.23 2.7.7.83
PAS_chr3_0687,4.1.99.22
PAS_chr3_0693,5.4.2.11
PAS_chr3_0826,5.4.2.11
PAS_chr3_0797,2.7.7.7
PAS_chr1-3_0083,2.7.7.7
PAS_chr2-2_0349,2.7.7.7
PAS_chr3_0703,2.7.7.7
PAS_chr3_0765,2.7.7.7
PAS_chr2-1_0697,2.7.7.7
PAS_chr4_0125,2.7.7.7
PAS_chr2-1_0163,2.7.7.7
PAS_chr3_0724,5.4.99.43
PAS_chr3_0726,3.5.4.5
PAS_chr3_0732,6.5.1.1
PAS_chr3_1112,6.5.1.1
PAS_chr3_0735,2.7.1.228
PAS_chr3_0742,2.7.1.78
PAS_chr3_0743,3.5.1.3
PAS_chr3_0744,1.1.1.307 1.1.1.430 1.1.1.431
PAS_chr3_0751,3.6.5.5
PAS_chr3_0754,6.1.1.9
PAS_chr3_0764,2.5.1.60
PAS_chr4_0741,2.5.1.60
PAS_chr2-1_0768,2.7.7.-
UBA4 PAS_chr2-1_0563,2.7.7.-
PAS_chr3_0775,2.7.7.-
PAS_chr4_0481,2.7.7.-
PAS_chr4_0323,2.7.7.-
NCS6 CTU1 PAS_chr3_0775,2.7.7.-
PAS_chr3_0781,2.4.1.11
PAS_chr3_0783,3.1.2.6
PAS_chr3_0788,4.2.1.19
PAS_chr3_0792,1.6.5.9
PAS_chr3_0799,6.3.5.5
PAS_chr4_0138,6.3.5.5
PAS_chr3_0803,3.4.11.22
PAS_chr3_0831,6.2.1.4 6.2.1.5
PAS_chr3_0834,2.2.1.3
PAS_chr3_0832,2.2.1.3
PAS_chr3_0843,2.5.1.3 2.7.1.50
NAT10 PAS_chr2-2_0360,2.3.1.-
PAS_chr4_0098,2.3.1.-
PAS_chr4_0691,2.3.1.-
PAS_chr2-2_0049,2.3.1.-
PAS_chr3_0845,2.3.1.-
PAS_chr3_0914,2.3.1.-
PAS_chr3_1223,3.4.24.64
PAS_chr3_0855,3.4.24.64
PAS_chr3_0856,6.2.1.45
PAS_chr3_0858,7.6.2.2
PAS_chr3_0864,1.14.14.54
PAS_chr3_0867,3.1.2.12
PAS_chr3_0868,3.1.3.11
PAS_chr3_0870,2.7.7.13
PAS_chr3_0876,2.5.1.6
PAS_chr3_0887,2.4.2.8
PAS_chr3_0890,3.13.2.1
PAS_chr3_0891,3.2.1.210
PAS_chr3_0896,3.4.14.-
PAS_chr3_0899,2.7.1.39
PAS_chr3_0906,1.11.1.25 1.11.1.27
PAS_chr3_0912,3.1.26.-
PAS_chr3_0915,2.4.2.19
PAS_chr4_0823,1.5.3.17
PAS_chr3_0922,1.5.3.17
PAS_chr4_0690,3.1.26.5
PAS_chr4_0566,3.1.26.5
PAS_chr3_1050,3.1.26.5
PAS_chr3_0927,3.1.26.5
PAS_chr3_0932,1.17.1.9
PAS_chr3_0936,2.5.1.54
PAS_chr1-4_0218,2.5.1.54
PAS_chr2-1_0473,2.5.1.54
PAS_chr3_0937,3.1.2.4
PAS_chr3_0939,1.14.19.17 1.14.18.5
PAS_chr3_0943,1.3.3.3
ALG13 PAS_chr1-4_0448,2.4.1.141
PAS_chr3_0944,2.4.1.141
TRM7 PAS_chr3_0947,2.1.1.205
PAS_chr3_0947,2.1.1.205
PAS_chr1-1_0047,6.1.1.6
PAS_chr3_0949,6.1.1.6
PAS_chr3_0951,5.3.1.1
PAS_chr3_0954,4.1.1.37
PAS_chr3_0957,1.14.14.154 1.14.15.36
PAS_chr3_0962,4.1.3.27 4.1.1.48
PAS_chr3_0964,2.7.11.11
PAS_chr3_0965,4.1.1.15
PAS_chr3_0969,3.1.26.11
PAS_chr3_0975,1.3.1.124
PAS_chr3_0976,5.1.99.6
PAS_chr3_0979,3.4.21.92
PAS_chr3_0986,3.1.1.23
PAS_chr4_0043,1.2.1.3
PAS_chr3_0987,1.2.1.3
PAS_chr3_0996,2.1.1.45
PAS_chr3_0999,2.4.1.265
PAS_chr3_1007,2.5.1.1 2.5.1.10 2.5.1.29
PAS_chr3_1011,1.8.1.7
PAS_chr3_1012,2.1.2.11
PAS_chr3_1013,3.1.4.54
PAS_chr3_1021,1.1.2.4
PAS_chr3_1025,2.3.1.97
PAS_chr3_1028,1.1.1.284 1.1.1.1
PAS_chr3_1033,1.4.3.3
PAS_chr3_1037,2.5.1.78
PAS_chr3_1084,1.8.1.2
PAS_chr4_0369,1.8.1.2
PAS_chr3_1087,3.4.23.25
PAS_chr3_1088,5.4.99.27
PAS_chr3_1100,2.1.1.33
TRM8 PAS_chr3_1100,2.1.1.33
PAS_chr3_1104,2.7.11.1 3.1.26.-
PAS_chr3_1105,3.2.2.27
UNG1 PAS_chr3_1105,3.2.2.27
PAS_chr3_1110,6.1.1.1
PAS_chr4_0522,6.1.1.1
PAS_chr4_0733,1.3.5.1
PAS_chr3_1111,1.3.5.1
PAS_chr3_1112,6.5.1.1 6.5.1.6 6.5.1.7
PAS_chr3_1115,5.3.1.8
PAS_chr3_1126,3.1.1.31
PSD2 PAS_chr3_1127,4.1.1.65
PAS_chr3_1127,4.1.1.65
PSD1 PAS_chr1-4_0019,4.1.1.65
PAS_chr3_1132,2.6.1.7
PAS_chr3_1133,2.1.1.360
PAS_chr3_1138,2.4.2.7
PAS_chr3_1148,3.1.3.96
PAS_chr4_0624,2.7.1.1
PAS_chr3_1192,2.7.1.1
BNA5 PAS_chr3_1194,3.7.1.3
PAS_chr3_1194,3.7.1.3
PAS_chr3_1197,2.4.2.10
PAS_chr3_1255,3.6.1.66
PAS_chr4_0013,3.2.1.21
PAS_chr4_0021,3.6.1.42
PAS_chr4_0023,2.7.7.3
PAS_chr4_0027,2.1.1.346
PAS_chr4_0035,5.6.2.- 2.3.2.27
PAS_chr2-1_0466,3.1.1.-
PAS_chr4_0232,3.1.1.-
PAS_chr4_0039,3.1.1.-
PAS_chr4_0044,4.2.2.23
PAS_chr4_0046,3.2.1.-
PAS_chr3_0891,3.2.1.-
PAS_chr2-1_0753,3.2.1.-
PAS_chr4_0048,3.2.1.6
PAS_chr4_0050,5.4.99.5
PAS_chr4_0055,1.3.3.4 1.3.3.15
PAS_chr4_0060,2.3.1.4
PAS_chr4_0063,1.3.1.71
PAS_chr4_0072,2.5.1.108
PAS_chr4_0081,2.5.1.9
PAS_chr4_0098,2.3.1.311
PAS_chr4_0101,6.1.1.12
PAS_chr1-4_0095,6.1.1.12
PAS_chr4_0103,2.4.1.232
PAS_chr4_0112,4.1.2.48
PAS_chr4_0127,3.1.26.3
PAS_chr4_0132,6.3.1.14
PAS_chr4_0137,6.3.2.25
PAS_chr4_0146,4.4.1.36
PAS_chr4_0147,2.6.1.58 2.6.1.28
PAS_chr2-1_0199,1.6.2.2
PAS_chr4_0149,1.6.2.2
PAS_chr4_0737,1.6.2.2
PAS_chr4_0150,2.7.2.4
AOX1 PAS_chr4_0821,1.1.3.13
AOX2 PAS_chr4_0152,1.1.3.13
PAS_chr4_0152,1.1.3.13
PAS_chr4_0821,1.1.3.13
PAS_chr1-1_0009,3.1.1.5
PAS_chr4_0039,3.1.1.5
PAS_chr4_0153,3.1.1.5
PAS_chr4_0158,5.6.1.7
PAS_chr4_0167,2.4.1.173
ATG26 PAZ4 PDG3 UGT51 UGT51B1 PAS_chr4_0167,2.4.1.173
PAS_chr4_0173,6.3.4.6 3.5.1.54
PAS_chr4_0178,1.3.1.89
PAS_chr4_0179,1.3.1.90
PAS_chr4_0186,7.6.2.3
PAS_chr4_0188,7.6.2.3
PAS_chr4_0191,2.3.3.9
PAS_chr1-4_0459,2.3.3.9
PAS_chr4_0194,3.6.1.62
PAS_chr4_0196,6.3.2.17
PAS_chr1-1_0282,1.17.4.1
PAS_chr2-1_0209,1.17.4.1
PAS_chr4_0197,1.17.4.1
PAS_chr4_0198,5.-.-.-
PAS_chr4_0213,5.3.1.6
PAS_chr4_0212,5.3.1.6
PAS_chr4_0218,3.1.3.43
PAS_chr4_0891,5.6.2.3
PAS_chr4_0223,5.6.2.3
PAS_chr4_0228,2.2.1.6
PAS_chr4_0229,2.7.7.19
PAS_chr1-4_0645,2.7.7.19
PAS_chr4_0232,3.1.1.89
PAS_chr4_0233,6.3.5.1
PAS_chr4_0243,1.14.11.-
PAS_chr4_0247,6.3.3.2
PAS_chr4_0248,2.6.1.42
PAS_chr2-1_0072,1.14.19.1
PAS_chr4_0259,1.14.19.1
PAS_chr4_0264,3.6.1.43
PAS_chr4_0266,2.7.1.105 3.1.3.46
PAS_chr1-4_0277,3.6.1.-
PAS_chr4_0270,3.6.1.-
PAS_chr4_0378,3.6.1.-
PAS_chr4_0272,1.1.2.3
PAS_chr4_0279,5.6.2.3 3.1.-.-
MDE1 PAS_chr4_0280,4.2.1.109
PAS_chr4_0280,4.2.1.109
PAS_chr4_0285,3.1.3.3
PAS_chr4_0294,2.4.2.18
PAS_chr4_0312,2.7.1.160
PAS_chr2-1_0162,2.7.13.3
PAS_chr4_0315,2.7.13.3
PAS_chr4_0322,3.6.5.4
PAS_chr4_0323,2.7.7.102
PAS_chr4_0330,2.5.1.49 2.5.1.47
PAS_chr4_0335,1.13.11.27
PAS_chr4_0338,1.1.1.378 1.1.1.377 1.1.1.173
PAS_chr4_0339,3.1.1.65
PAS_chr4_0577,4.1.2.53
PAS_chr4_0341,4.1.2.53
PAS_chr4_0343,5.3.1.16
PAS_chr4_0346,2.3.1.254
PAS_chr4_0352,6.2.1.3
PAS_chr4_0356,4.6.1.1
PAS_chr4_0393,6.1.1.4
PAS_chr1-4_0534,6.1.1.4
PAS_chr4_0398,1.5.1.2
PAS_chr4_0401,2.3.2.8
PAS_chr4_0405,7.3.2.7 7.3.-.-
PAS_chr4_0408,2.7.7.14
PAS_chr4_0415,2.1.2.1
PAS_chr4_0587,2.1.2.1
PAS_chr4_0418,4.2.1.24
PAS_chr1-4_0447,2.7.1.-
PAS_chr4_0421,2.7.1.-
PAS_chr3_1192,2.7.1.-
PAS_chr1-4_0561,2.7.1.-
PAS_chr4_0624,2.7.1.-
