gene_id,EC,Gene_id,B_10_fpkm,G_3_fpkm,GM_2_fpkm,M_12_fpkm,M_24_fpkm,M_36_fpkm,M_48_fpkm,M_60_fpkm,M_72_fpkm,M_84_fpkm,M_96_fpkm,M_108_fpkm,M_120_fpkm,gene_chr,gene_start,gene_end,gene_strand,gene_length
PAS_chr4_0143,5.6.2.-,PAS_chr4_0143,16.50751228,16.38948618,18.19228087,19.98189339,15.71519413,16.99762685,15.79273633,15.03862405,15.47867204,16.15365983,13.90004641,18.17989342,14.07503635,,,,,
PAS_chr4_0241,5.6.2.-,PAS_chr4_0241,28.91249244,38.90346458,36.13293019,69.269596,50.92826179,45.06149109,50.2286797,39.60940123,49.77928233,54.35972991,48.8950142,51.99449519,39.75931868,,,,,
PAS_FragB_0039,5.6.2.-,PAS_FragB_0039,70.62557731,72.72577579,64.009482,21.87306232,52.74161559,55.36687371,37.98937456,75.26019326,54.91524859,44.28295113,42.0198149,51.14059404,56.62576107,,,,,
PAS_FragB_0040,2.3.1.50,PAS_FragB_0040,82.73809214,82.23055018,71.61218506,70.83922206,76.59239284,73.51229339,69.20786407,66.68282391,64.2490713,65.64592335,61.53651638,61.70195983,57.53426152,,,,,
PAS_chr3_0733,2.3.1.50,PAS_chr3_0733,83.5808818,86.04462537,84.32656233,53.59824619,57.28706422,54.32234913,54.26971363,51.33809149,44.87894749,50.24521744,42.62793505,45.49769867,41.36930465,,,,,
PAS_FragB_0053,1.4.4.2,PAS_FragB_0053,131.9519503,83.76365681,29.54544891,52.49970482,68.68427096,66.70853319,60.66838004,78.74606184,52.03504025,50.65851658,69.48123061,49.80858075,51.25759209,,,,,
PAS_FragB_0055,2.3.2.25,PAS_FragB_0055,71.83488859,65.98655697,35.82185026,43.26922168,43.01519891,54.38164184,58.92613347,66.31359703,68.60902564,57.77237504,52.71388727,53.67558468,52.36384958,,,,,
PAS_chr4_0475,5.6.2.4,PAS_chr4_0475,191.6038258,169.6936668,149.3474898,107.4230004,116.2242732,114.4888359,111.0901755,110.2954397,99.18855161,102.7441995,106.7700421,104.6776672,108.1385813,,,,,
PAS_chr3_0219,5.6.2.4,PAS_chr3_0219,10.33006132,9.882230259,6.640613393,8.905543778,10.48009465,10.63094539,11.86844772,9.598362196,9.54653779,10.5236203,8.619607796,9.861969583,6.976081645,,,,,
PAS_chr1-4_0175,5.6.2.4,PAS_chr1-4_0175,15.8986798,17.45512322,17.34043048,20.7994673,15.76655262,16.90340834,18.11856182,20.88674583,18.74308937,17.93371994,19.20951449,19.25525582,19.81941113,,,,,
PAS_FragB_0056,5.6.2.4,PAS_FragB_0056,15.22759201,16.95958228,10.36980533,12.62643716,14.1944827,14.20779938,13.89599599,14.17334203,12.33552776,12.70607612,11.00180751,11.58371022,10.37614604,,,,,
PAS_FragB_0057,3.1.13.1,PAS_FragB_0057,4.176263067,2.620296624,5.626130365,2.164712457,3.612537968,3.37804065,2.526996069,3.598202573,2.182135939,2.705939001,2.090893806,2.856428212,2.070691614,,,,,
PAS_chr4_0382,3.1.-.-,PAS_chr4_0382,15.70693191,12.52630592,8.925261868,10.77846411,10.99515039,9.571885362,9.170301507,9.880174803,8.824621145,9.493894496,9.542571315,10.24485855,8.90377957,,,,,
PAS_chr3_0681,3.1.-.-,PAS_chr3_0681,81.9405345,73.95826181,40.91843325,53.45580953,55.31726729,64.86655454,73.71601786,103.176357,85.09150763,62.39214747,68.31205849,67.92062084,81.28524842,,,,,
PAS_chr3_0423,3.1.-.-,PAS_chr3_0423,31.5912765,35.22500966,24.21904392,34.46614582,43.30183274,40.18498844,42.97099259,44.53751335,42.66237441,45.24599398,44.94551803,43.32251333,45.74284914,,,,,
PAS_chr4_0607,3.1.-.-,PAS_chr4_0607,399.4286685,379.614692,401.9338213,346.5339613,331.2848372,322.2043873,360.0975344,353.9789987,346.1099577,449.1396302,407.6761961,361.8602689,356.4402331,,,,,
SLX1 PAS_chr1-3_0243,3.1.-.-,PAS_chr1-3_0243,19.72056731,17.44743747,21.2988715,18.57919787,18.47460622,19.77698776,15.9443344,16.76942309,14.7787917,17.28215829,15.93148734,18.46976869,15.7243328,,,,,
PAS_chr4_0987,3.1.-.-,PAS_chr4_0987,21.82241768,21.60876748,21.98720779,17.69937264,17.36009282,20.36770613,18.67483345,22.04145663,19.8977496,18.89001941,15.57138275,17.44824345,17.05686163,,,,,
PAS_chr4_0279,3.1.-.-,PAS_chr4_0279,16.74578835,17.41726425,21.5869321,27.24581905,25.88686662,25.32067573,25.86884791,23.53692275,21.7540339,24.95136145,23.10126698,25.44646974,18.87008311,,,,,
PAS_FragB_0059,3.1.-.-,PAS_FragB_0059,12.99885136,18.40995694,22.8376281,26.55863762,22.72773641,20.06012522,19.85041853,16.94592357,19.82915244,18.21958848,18.71697235,19.45886439,19.18947351,,,,,
PAS_chr3_0202,3.1.-.-,PAS_chr3_0202,39.97713817,33.00686096,38.01612929,30.32105641,32.65661544,31.21575288,32.10351732,33.76881778,32.78235795,35.93505671,34.84737744,37.36461391,35.99081589,,,,,
LCL3 PAS_chr1-1_0068,3.1.-.-,PAS_chr1-1_0068,33.51524336,35.79997166,21.40397611,39.56182692,36.88525376,34.0530191,36.02613601,31.35699984,34.84735738,37.57542397,32.5701375,35.88236275,33.84213859,,,,,
EXO5 DEM1 PAS_chr4_0382,3.1.-.-,PAS_chr4_0382,15.70693191,12.52630592,8.925261868,10.77846411,10.99515039,9.571885362,9.170301507,9.880174803,8.824621145,9.493894496,9.542571315,10.24485855,8.90377957,,,,,
PAS_chr2-1_0730,3.1.-.-,PAS_chr2-1_0730,85.49772037,68.81877947,63.28771705,55.72104761,59.05683204,65.10206605,65.06065583,78.37561056,69.7501732,61.3762124,59.86580834,60.58471872,58.98110471,,,,,
PAS_chr2-1_0699,3.1.-.-,PAS_chr2-1_0699,33.00928373,31.64818885,39.39874961,36.59692383,34.17096213,34.35539214,36.32651524,33.76040193,33.86463484,34.56895152,34.636428,33.70085638,29.23506107,,,,,
FEN1 PAS_chr1-4_0633,3.1.-.-,PAS_chr1-4_0633,50.3026183,50.37454363,27.46630075,23.67035255,29.20451011,29.55235935,28.32438273,27.47766433,25.80603156,27.23029142,19.42416815,21.77162085,14.45251177,,,,,
PAS_FragB_0061,4.1.1.49,PAS_FragB_0061,861.5172689,1457.375001,2329.84676,1784.099799,3438.709792,2170.434902,1792.179034,3487.445883,1862.978887,1489.581527,1982.640696,1763.039148,2855.696442,,,,,
PAS_FragB_0064,2.7.1.105,PAS_FragB_0064,389.8125578,547.3117049,298.9501341,78.74015236,209.9122176,268.2582231,158.6516085,322.3383505,335.0143882,152.8303284,227.9353104,226.2061291,235.7234164,,,,,
PAS_FragD_0019,7.2.2.-,PAS_FragD_0019,36.01413595,39.02807175,49.51631467,49.0392152,49.79873603,52.55503779,53.97513745,51.4771023,55.98789361,55.71208622,58.20884755,57.29615009,58.28144107,,,,,
PAS_chr3_0368,7.2.2.-,PAS_chr3_0368,86.77177753,67.02819681,62.77670389,48.22522004,57.45216091,54.97033293,55.42673344,61.95599664,61.89608496,53.96873849,53.87555334,55.22432141,53.51870543,,,,,
PAS_c121_0002,2.4.1.132 2.4.1.257,PAS_c121_0002,43.30569201,44.31667942,42.08283937,33.46150051,28.61205798,19.72307623,19.18738956,30.20898206,28.48341307,23.6305514,21.88268786,22.12544224,24.12772662,,,,,
PAS_chr3_0063,2.3.2.27,PAS_chr3_0063,18.35241534,19.14919098,19.24345911,21.31698584,19.50672591,18.87461402,18.38391861,21.27255464,17.66889244,18.98303854,17.302814,18.49873841,17.04982734,,,,,
PAS_chr3_0521,2.3.2.27,PAS_chr3_0521,50.00801178,65.08956219,68.34685475,114.3583972,84.90896755,87.51438045,97.91805396,79.01128742,96.06538462,101.1156573,104.0437989,95.68387141,99.6535097,,,,,
PAS_chr4_0521,2.3.2.27,PAS_chr4_0521,24.58223472,21.04369762,10.93782219,11.99339226,12.15387345,12.79403732,12.65920023,13.09911763,12.70263925,12.67220074,11.75337266,13.41726679,12.03934008,,,,,
PAS_c121_0007,2.3.2.27,PAS_c121_0007,16.26301982,16.18576716,20.77413339,21.6941978,20.4532597,20.21114096,20.72823121,20.40264443,22.58630364,20.87242827,22.50653642,21.8246706,21.41971446,,,,,
PAS_chr1-3_0306,2.3.2.27,PAS_chr1-3_0306,24.78113617,28.56558631,24.65554291,25.2326316,25.40599596,25.29907348,24.89944156,22.73916481,24.77494236,23.22498929,23.17284289,21.39674944,25.44952956,,,,,
PAS_chr4_0764,2.3.2.27,PAS_chr4_0764,37.20163451,42.6296306,34.47995405,21.53873672,22.38484332,25.06056906,24.41291451,22.56515197,23.30462611,23.15149249,21.99803578,21.34213154,26.62781643,,,,,
PAS_chr3_0538,2.3.2.27,PAS_chr3_0538,44.18620845,39.05206933,35.96847257,55.51038254,50.93605733,52.37587881,56.85404829,49.06935506,58.03196376,52.54238185,57.53555795,53.83577879,55.83006781,,,,,
PAS_chr3_0061,2.3.2.27,PAS_chr3_0061,38.26819058,38.62020436,26.77190133,60.96999248,50.71828306,47.23090225,46.26648298,46.02011369,51.66794973,48.34670048,51.57228137,49.47305408,49.59318971,,,,,
PAS_chr3_1152,2.3.2.27,PAS_chr3_1152,50.09313771,51.76194616,39.97212113,26.21650177,32.29428849,31.15890912,29.49466595,36.25766001,29.16379751,28.22205183,28.13348134,25.85687422,26.64519407,,,,,
PAS_chr1-3_0150,2.3.2.27,PAS_chr1-3_0150,11.47588844,12.03120203,17.01152545,24.16787037,23.43403293,25.49698976,27.21117341,24.4061692,27.66543156,25.67742344,32.52624331,29.0515029,33.91349568,,,,,
PAS_chr4_0997,2.3.2.27,PAS_chr4_0997,18.93542458,21.14874083,18.17867916,75.59296161,49.51960774,47.87783428,56.89731704,44.00629857,55.21625514,57.63745017,66.41227458,57.66630849,52.4436918,,,,,
PAS_chr2-1_0398,2.3.2.27,PAS_chr2-1_0398,32.60547785,31.5315135,26.22346607,25.52340301,23.92544724,19.47657781,21.3074287,23.73518345,22.67086754,24.325727,21.95800502,24.12985909,18.92535769,,,,,
PAS_chr3_0209,2.3.2.27,PAS_chr3_0209,53.10773445,81.76353501,39.85244142,44.6144426,44.39244474,52.37666821,57.69703061,54.36241551,61.49669486,62.38212216,60.67588202,56.77500116,58.27338548,,,,,
PAS_chr4_0440,2.3.2.27,PAS_chr4_0440,29.44648773,29.91872375,30.39028273,23.02169385,20.97977658,21.39337618,19.88976738,19.14777877,22.3849683,19.52813367,18.57468678,19.6033622,18.96693646,,,,,
PAS_chr4_0637,2.3.2.27,PAS_chr4_0637,29.05777654,34.3965637,39.6828093,67.62033549,51.98814622,52.49190401,56.24045612,62.68577056,53.47415837,48.56792296,57.45980627,54.93723603,61.33922534,,,,,
PAS_chr4_0444,2.3.2.27,PAS_chr4_0444,23.76196603,26.94816565,45.89401701,64.57235119,58.11076465,56.10395694,57.11897296,65.99978424,60.97577137,58.53890959,67.6787826,59.54589221,75.73681822,,,,,
PAS_chr4_0172,2.3.2.27,PAS_chr4_0172,56.22046589,61.73189437,68.1978966,46.19921716,54.46550781,45.01198851,34.94050339,42.74040816,37.70099924,36.51217983,29.8974541,36.36084938,41.68249035,,,,,
PAS_chr1-3_0144,2.3.2.27,PAS_chr1-3_0144,45.29144902,42.52961873,81.07177267,87.82781475,78.55396729,77.7478476,77.39303209,68.76438691,77.34534895,82.9541352,84.42784035,75.8184926,76.05980198,,,,,
PAS_chr2-1_0274,2.3.2.27,PAS_chr2-1_0274,24.85808625,26.11891837,18.52252073,25.36919137,24.978142,26.04602155,25.96632212,30.76840257,23.66659533,22.14839072,22.37568446,25.86552501,20.55495814,,,,,
PAS_chr4_0156,2.3.2.27,PAS_chr4_0156,46.15557761,61.70864882,84.61237771,96.12732804,73.28851965,60.71612378,67.06265413,58.74703378,65.32939377,61.15233687,68.07171052,59.31710171,58.73269729,,,,,
PAS_c121_0009,3.5.4.6,PAS_c121_0009,62.96277543,52.13751921,28.37053097,36.15399698,35.92837951,41.31260976,44.73161147,46.59066649,47.76086687,40.89070777,32.99622962,36.15405342,33.76852286,,,,,
PAS_chr2-1_0829,2.3.1.225,PAS_chr2-1_0829,40.06580409,37.96676452,50.60320155,58.10789761,58.49887432,57.73503546,56.58695278,50.64270221,58.75072381,59.56626248,62.42401601,62.87265383,59.88272078,,,,,
PAS_chr3_0246,2.3.1.225,PAS_chr3_0246,19.84673311,17.5175075,15.25368358,18.73697069,18.73474403,20.08408188,20.29400627,19.25185658,20.0692137,20.48559287,18.56186083,21.16687218,13.72130516,,,,,
PAS_chr2-1_0056,2.3.1.225,PAS_chr2-1_0056,15.35760164,15.34479339,13.02329393,12.12089814,15.21379973,15.33099826,15.07539252,16.30499462,15.6194493,16.76973158,15.99639802,15.49154351,20.31567545,,,,,
PAS_c121_0010,2.3.1.225,PAS_c121_0010,27.70438611,22.68863613,32.16984445,28.67761599,23.91957019,24.71593085,23.64625864,25.99345604,24.8144995,26.20466839,23.51343113,28.3663714,26.73073121,,,,,
PFA4 PAS_chr3_0246,2.3.1.225,PAS_chr3_0246,19.84673311,17.5175075,15.25368358,18.73697069,18.73474403,20.08408188,20.29400627,19.25185658,20.0692137,20.48559287,18.56186083,21.16687218,13.72130516,,,,,
PAS_chr1-4_0126,2.3.1.225,PAS_chr1-4_0126,47.08026071,50.66865647,38.86027836,71.35865102,59.21795175,58.70440995,64.03916262,61.10474142,68.38132823,61.05264594,66.00201897,62.44378381,69.02141294,,,,,
PAS_chr1-3_0264,5.2.1.8,PAS_chr1-3_0264,3689.407081,2711.04534,3036.756061,3458.25073,2773.923121,2317.695869,2087.49117,1608.559119,2128.289541,1959.432717,2301.460461,1907.409191,2053.75416,,,,,
PAS_chr3_0567,5.2.1.8,PAS_chr3_0567,528.8501627,247.3017185,103.4743023,124.5617274,178.8230341,294.566331,185.5901304,247.0930187,197.1144325,179.6296572,234.9240831,379.7807098,495.6127883,,,,,
PAS_chr2-2_0375,5.2.1.8,PAS_chr2-2_0375,669.253493,584.6150782,686.3319127,490.9564366,464.6391203,448.9822482,437.3838328,415.6523672,503.590642,479.4241405,500.2640951,475.0021839,530.045121,,,,,
PAS_chr2-2_0476,5.2.1.8,PAS_chr2-2_0476,317.7877098,177.9600186,222.2118711,60.80588554,90.49050539,68.41860702,67.60744911,100.582098,67.53237242,86.0750393,60.39262408,73.7819441,64.13226927,,,,,
PAS_chr2-2_0381,5.2.1.8,PAS_chr2-2_0381,204.475516,186.8879646,156.7164802,150.9580235,147.6028363,157.3152647,163.9604766,161.1172382,182.7792034,177.7219612,167.7955667,160.3339738,186.2529276,,,,,
PAS_chr2-2_0484,5.2.1.8,PAS_chr2-2_0484,11.99136818,11.0498719,27.46602045,13.75257618,14.37057428,15.21149336,17.57549866,13.03429273,13.18336486,15.28457774,14.59195408,15.591697,12.54763809,,,,,
PAS_chr1-3_0129,5.2.1.8,PAS_chr1-3_0129,17.66812794,17.80096231,23.05913516,28.01703033,23.2959188,22.68467728,23.37626746,23.89966323,24.23926165,22.41285043,23.51015822,23.66003271,21.30926978,,,,,
PAS_chr1-1_0267,5.2.1.8,PAS_chr1-1_0267,321.6209197,329.5726579,219.4536256,259.6884841,265.8434857,258.4243958,242.6641463,249.8927484,260.8075104,263.5924772,263.8926015,238.0635538,244.2131924,,,,,
PAS_chr4_0085,5.2.1.8,PAS_chr4_0085,85.84856232,67.99887171,76.22335875,125.3208849,104.4089565,97.53337933,104.4785445,90.03963746,98.78163049,96.61193613,102.9748973,101.4569861,111.5166866,,,,,
PAS_chr3_0378,5.2.1.8,PAS_chr3_0378,32.93735295,21.97371555,15.37007311,17.51928134,21.4565142,21.11277047,21.10048051,20.44854464,22.20484918,20.15542038,21.64665214,19.22534335,22.94187475,,,,,
PAS_chr4_0545,5.2.1.8,PAS_chr4_0545,114.2254927,115.4231223,108.5416085,126.7286083,121.6367846,119.1019209,120.6989042,111.2423851,120.9573726,121.8486778,122.3882135,126.1935361,138.6408807,,,,,
PAS_c131_0001,5.2.1.8,PAS_c131_0001,256.8955975,268.0865609,301.1486138,343.032252,284.127434,296.8102572,308.9234527,260.7312263,319.9246014,349.7223702,362.9833257,346.6570104,327.2232188,,,,,
PAS_chr3_0148,2.7.11.1,PAS_chr3_0148,15.52529572,12.78875548,24.40217314,33.52411182,29.59238991,32.44222998,32.60668824,26.28573764,29.88256897,31.87252003,34.42838772,34.02876884,31.89946037,,,,,
PAS_chr3_0347,2.7.11.1,PAS_chr3_0347,25.47162074,32.87499714,35.09524329,48.57416598,41.47791686,41.79144612,45.04271194,42.91112538,46.63526193,44.55567708,48.37621633,44.89572335,43.48846398,,,,,
PAS_chr3_0850,2.7.11.1,PAS_chr3_0850,12.67254388,12.8899487,15.08048071,16.05783303,15.38248687,17.40864374,17.47681819,16.89862172,17.2332588,17.23727814,17.76141502,17.6954762,15.99551058,,,,,
PAS_chr2-2_0332,2.7.11.1,PAS_chr2-2_0332,49.12845829,67.96843248,62.76248958,214.7433462,159.189117,129.5589806,153.4697722,113.10279,143.7440876,150.8751156,158.5158643,137.0544552,124.8635315,,,,,
PAS_chr3_0549,2.7.11.1,PAS_chr3_0549,66.86976313,67.48461474,62.97121347,71.40624254,69.40134316,68.39152011,69.63640023,72.65713897,68.6642697,68.78655945,63.21804827,70.10059652,71.1282481,,,,,
PAS_chr3_0893,2.7.11.1,PAS_chr3_0893,32.34670422,36.07223584,186.6634632,50.47598864,86.42786464,63.18929854,58.01118476,76.58325716,62.17357769,80.04537906,59.79934386,68.83118814,70.64947983,,,,,
PAS_chr3_0042,2.7.11.1,PAS_chr3_0042,11.38464147,13.29162109,13.09415175,21.82806433,17.1976515,19.40567569,19.01480686,16.40901789,17.26205334,18.57995276,19.91174506,18.54004128,17.08620375,,,,,
PAS_chr1-4_0662,2.7.11.1,PAS_chr1-4_0662,35.70124113,52.91211943,25.00206553,32.4681476,40.45026525,42.35985721,40.77119189,40.72880411,34.90014299,33.53877535,35.38988999,32.21420492,46.1947565,,,,,
PAS_chr2-2_0297,2.7.11.1,PAS_chr2-2_0297,9.185294296,8.208811071,6.950656051,8.248600522,9.723101113,10.83521273,10.40546957,11.05110579,9.694843254,9.376916314,9.753263327,10.80701391,10.3078394,,,,,
PAS_chr2-1_0855,2.7.11.1,PAS_chr2-1_0855,120.5573226,125.7232792,124.1539267,164.6298936,134.6233512,132.5028943,144.0006866,125.4450457,135.1640447,135.5717368,151.5122381,136.8543757,127.5347509,,,,,
PAS_chr1-1_0340,2.7.11.1,PAS_chr1-1_0340,48.8658203,48.53996523,98.04467923,50.56727184,81.85863721,73.82938034,72.00966876,59.52722562,56.82002449,56.54746272,44.94261409,51.02908016,35.09895715,,,,,
PAS_chr3_0112,2.7.11.1,PAS_chr3_0112,35.28170006,25.26188443,43.5460565,11.03612301,14.92010073,14.21761968,12.34806217,20.92466989,12.42705543,17.72900191,9.800782356,14.87285897,15.85315926,,,,,
PAS_chr4_0037,2.7.11.1,PAS_chr4_0037,100.0726162,146.2643449,188.0687757,206.7893249,205.3655067,222.569344,242.6424587,246.2967026,278.1185042,252.7843264,293.6225886,248.7829279,277.8576037,,,,,
PAS_chr4_0313,2.7.11.1,PAS_chr4_0313,64.17303533,83.85867815,130.0543625,45.85088109,94.64223738,100.5184676,106.9972364,96.16214271,81.46882594,97.91829814,77.33558848,92.68203784,60.72026486,,,,,
PAS_chr2-1_0557,2.7.11.1,PAS_chr2-1_0557,18.09397351,17.99927518,27.94651409,30.92500934,31.4437181,36.24155628,34.68852861,36.03215577,36.60957246,32.4518706,40.01959336,38.13577592,47.14698628,,,,,
PAS_c131_0004,2.7.11.1,PAS_c131_0004,53.21197473,51.21109175,62.12066873,75.1190976,68.23625645,61.17582311,62.19073921,54.00236516,54.68343133,56.62755798,57.87104578,55.88411134,57.43896906,,,,,
PAS_chr3_0127,2.7.11.1,PAS_chr3_0127,64.97268746,54.20925478,77.20363614,120.3590162,123.2948306,100.5892812,100.0762844,93.89106755,89.68188553,89.12649857,105.6439363,88.30296227,117.0030327,,,,,
PAS_chr3_1061,2.7.11.1,PAS_chr3_1061,20.80904018,25.30938584,27.15122451,12.91549292,16.41412671,14.92296133,15.18508038,16.16632696,11.81624392,13.49726566,11.02317269,12.52531968,11.10403372,,,,,
PAS_chr4_0195,2.7.11.1,PAS_chr4_0195,48.04249972,37.17698626,80.61713337,54.45081723,54.42982575,57.8574028,52.9372024,52.47277108,49.11171329,57.18580974,52.69753613,61.37114293,56.70223779,,,,,
PAS_chr4_0585,2.7.11.1,PAS_chr4_0585,22.86408191,31.10316569,15.86676511,13.90972594,14.42664226,14.36723332,14.43754013,14.10398559,14.26400336,12.60477602,11.81392586,11.71031318,10.78588391,,,,,
PAS_chr2-1_0347,2.7.11.1,PAS_chr2-1_0347,54.15867887,48.77106793,30.80710969,33.38804921,36.81133307,34.31804826,38.24286848,36.69154215,36.07795499,37.24487584,36.93501667,35.03891662,32.32730518,,,,,
PAS_chr2-1_0641,2.7.11.1,PAS_chr2-1_0641,45.68249205,59.6738179,33.01857242,118.8651366,87.17367416,144.8337763,179.2608525,204.5801639,212.1252793,152.0386409,146.7755061,148.1866214,134.5122393,,,,,
PAS_chr3_0624,2.7.11.1,PAS_chr3_0624,38.18489538,67.46129068,43.97996454,49.1490216,80.82163561,75.92908483,84.89514813,60.39785478,65.27387739,77.95985948,64.49343734,63.96943334,41.04023615,,,,,
PAS_chr3_1104,2.7.11.1,PAS_chr3_1104,32.3788519,33.75471566,69.18594877,57.42582792,49.33745821,51.67197352,54.61014504,43.93206558,47.95558459,50.76119673,53.99921559,53.15059777,47.33379569,,,,,
PAS_chr1-4_0069,2.7.11.1,PAS_chr1-4_0069,26.77507797,39.30572248,46.68359847,59.03995096,42.43546797,40.92122588,40.22350696,40.58452191,44.63935518,46.81402871,47.97169076,46.77009751,47.34439977,,,,,
PAS_chr1-3_0143,2.7.11.1,PAS_chr1-3_0143,7.535411678,8.27400778,9.885173935,11.55270406,12.44254231,14.23163085,12.68069529,13.735432,14.44487726,12.48957676,14.79844645,15.23759523,21.82909891,,,,,
PAS_chr4_0568,2.7.11.1,PAS_chr4_0568,222.6445018,226.8705766,233.4755344,119.8975817,132.706535,121.6679856,116.559202,122.2007862,107.8892914,111.7987307,103.7776364,110.4734918,101.7663697,,,,,
PAS_chr4_0404,2.7.11.1,PAS_chr4_0404,51.21849797,121.9398849,83.63437143,15.45335874,48.27922729,59.49294902,60.14651991,44.84808947,48.5123152,51.68416097,45.01461227,47.56900024,28.69855908,,,,,
PAS_chr3_0217,3.1.3.16,PAS_chr3_0217,127.5655533,118.0491526,106.1914404,94.48665414,89.07850884,96.80932157,93.76546864,94.94372737,97.1954031,90.10698753,97.66939062,92.66151222,95.07818772,,,,,
PAS_chr2-1_0407,3.1.3.16,PAS_chr2-1_0407,69.65682847,73.44976651,97.2568396,120.1564434,97.61642777,93.44726488,100.6149121,81.75171652,92.27182966,101.8504982,90.39452238,102.2455468,94.61458014,,,,,
PAS_chr1-4_0298,3.1.3.16,PAS_chr1-4_0298,35.41690354,41.09183958,96.11425531,58.5786896,88.56720829,80.70138507,63.53140956,84.91931507,67.09937911,80.19752494,58.13459751,74.25151294,73.6266042,,,,,
PAS_chr1-1_0153,3.1.3.16,PAS_chr1-1_0153,121.1075301,171.3807971,228.1924039,359.945427,308.3228291,315.3341524,360.3417618,279.8820718,327.1999003,346.1113357,346.3550618,354.3838122,335.9837015,,,,,
PAS_chr4_0986,3.1.3.16,PAS_chr4_0986,65.02566874,70.84221232,62.04198366,218.1249818,191.1205916,164.5507431,167.2810292,171.127614,181.3193314,182.1297241,208.2009532,179.7777179,243.2348889,,,,,
PAS_c131_0016,3.1.3.16,PAS_c131_0016,22.76493049,25.71867481,24.43111612,39.67542155,34.62857373,33.33461321,32.36029608,31.42199593,34.50091442,34.93470632,33.15795505,32.75972563,33.73968719,,,,,
PAS_chr1-4_0280,3.1.3.16,PAS_chr1-4_0280,47.94625025,42.44815016,41.2245652,29.70600909,35.04261522,35.62822736,32.01958131,37.98402845,32.61101331,32.45323372,31.62596743,32.93814249,35.80485796,,,,,
PAS_chr3_0414,3.1.3.16,PAS_chr3_0414,40.10238064,59.24239821,53.95561989,111.6599325,107.6286423,92.79904774,100.3393458,99.54528229,122.029901,104.6018781,114.6303743,107.4107446,132.262553,,,,,
PAS_chr4_0453,3.1.3.16,PAS_chr4_0453,15.09214441,17.30212831,17.94373917,46.36506528,36.70671788,35.29406406,34.10844014,30.53071196,30.8509543,30.80147718,35.39759919,34.23605877,32.91246473,,,,,
PAS_chr4_0893,3.1.3.16,PAS_chr4_0893,53.69123681,56.74149169,57.10371842,70.85668579,75.27583412,90.23862912,89.83786901,89.23945712,108.6635685,98.38915985,86.34095635,85.3695224,74.66158602,,,,,
PAS_chr3_0608,3.1.3.16,PAS_chr3_0608,54.33181865,44.09037994,61.49611991,61.10372853,78.84663671,62.95942065,51.13139955,70.49359078,59.78086732,62.48863688,69.80143799,75.41446379,92.90735908,,,,,
