Gene_id,B_10_fpkm,G_3_fpkm,GM_2_fpkm,M_12_fpkm,M_24_fpkm,M_36_fpkm,M_48_fpkm,M_60_fpkm,M_72_fpkm,M_84_fpkm,M_96_fpkm,M_108_fpkm,M_120_fpkm,gene_chr,gene_start,gene_end,gene_strand,gene_length
novel.20,1.359755509,1.306129945,2.126161306,13.00979527,10.85861259,10.87009653,8.370563646,10.51389268,16.09457862,15.44642262,15.83308667,18.50983704,22.72195647,2,1650322,1651005,-,684
novel.22,5.351794151,6.519072426,9.873081288,9.239620983,10.44986776,9.316366118,9.376424684,9.522503453,9.238753238,9.574120727,10.35343695,9.46522368,8.013460536,2,2193881,2194537,-,657
novel.28,4.876439269,4.611751975,15.23232376,7.742896665,7.345345825,8.940772041,8.923699833,7.195670818,6.360440688,9.113811822,10.04622568,6.687539683,9.226011593,3,149647,150381,-,735
novel.16,1.5254744,1.143349975,2.100209066,4.666119905,5.752575543,8.021230613,8.256559815,7.654008835,8.739234792,10.64221832,11.25865136,10.07531915,15.8944961,2,510307,511570,-,1264
novel.38,9.045613123,17.43564999,18.40969932,3.223465901,2.527678294,2.924551602,2.596429419,7.233396013,3.993252256,4.071819278,2.648834921,3.596138764,3.805120588,4,39472,39792,+,321
novel.3,2.027143553,1.45358041,4.027427738,7.338528754,7.03819817,8.149418601,8.481028935,6.861466076,4.973323304,7.995277055,7.045960214,7.922858909,3.763803064,1,11951,12185,-,235
novel.30,2.232133115,6.193260661,3.856143486,6.4720114,5.498734765,5.929143564,4.063201506,7.748589265,6.211606282,5.296509773,6.34916447,8.521152603,7.903289207,3,435988,436424,-,437
novel.13,2.75741361,2.074441678,10.52956075,11.49702838,4.497264519,4.423329326,4.223123431,3.556268633,3.826793156,3.139331843,3.757320449,4.666345473,6.808669883,2,163693,164490,-,798
novel.23,1.680348271,1.297593148,1.48193818,2.640058369,1.386982449,1.576224997,2.594757001,2.468433598,0.837799983,0.941294024,3.425413424,2.206662926,2.079938201,2,2269976,2270380,-,405
novel.36,0.062729904,0.081744332,0.151606189,0.119222555,0.064722651,0.908602482,1.741085442,0.958660418,1.290148263,1.844845184,1.670635273,1.261413347,2.285739207,4,1507,4399,+,2893
novel.15,0.525514324,0.710169223,0.178255112,0,0.240981507,1.159883941,0,4.357958184,0.145563704,0.10513626,0.345570416,0.718869438,0.325241302,2,348784,349042,-,259
novel.41,0.203077695,1.283072777,0.840700433,0.287718106,0.152384643,0.168082876,0.294910467,0.656132056,0.751718805,0.470920604,0.600933947,0.530339894,0.599860102,4,33341,38658,-,4915
novel.2,0.138490242,0.192500082,0.380506105,0.126340971,0.05715587,0.229250565,0.088491144,0.216567641,0.115082415,0.116368767,0.027320738,0.181867824,0.411416348,1,1405760,1407453,+,1638
novel.6,0,0.105315676,0.185042381,0.069120411,0.250157155,0.075252991,0.145238972,0.12925407,0.151106209,0.436557778,0.089682102,0.522368854,0.08440631,1,216956,217454,-,499
novel.40,0,0,0,0,0,0,0,0,0,0,0,0,0,4,48,1026,-,979
novel.37,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33358,36149,+,2304
novel.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216956,217423,+,468
novel.35,0,0,0,0,0,0,0,0,0,0,0,0,0,4,54,995,+,942
PAS_chr4_0821,11.34235083,38.17444782,928.0200069,24093.20038,19737.99265,20337.86231,20796.57985,18912.48491,25377.80686,23360.73304,25217.41886,27928.37675,33180.3974,,,,,
PAS_chr1-4_0586,20743.26928,27883.68577,24924.53636,9132.69831,13268.83275,16264.84213,15954.81474,16577.19441,15274.07934,14878.35092,13801.95835,14391.2654,12765.07779,,,,,
PAS_chr3_0932,45.4520434,134.492339,13046.03393,20551.31518,15396.32941,17280.20632,17043.62616,17596.82154,21063.14998,19640.10808,21821.99835,23564.98956,28256.80864,,,,,
PAS_chr1-4_0547,27.37198894,27.30067689,291.3628456,15695.05736,13674.97779,15396.59505,16198.98319,17049.29066,20664.77753,18642.34585,21128.92703,21492.24361,24760.65169,,,,,
PAS_chr3_0648,6645.371895,5008.108572,6485.658131,23567.04739,11342.91083,11384.46592,10160.46356,11433.19482,12735.56462,10849.85453,10696.05142,10989.95865,11358.75292,,,,,
PAS_chr4_0883,10560.41604,15988.30872,17941.54315,6169.200911,11586.81985,11318.28589,9899.506335,12331.61743,9591.667352,10581.03112,7931.163066,9441.006723,6891.946137,,,,,
PAS_chr4_0065,6532.284916,6879.80843,1403.680946,24456.94405,8462.768994,9356.866658,7628.251037,13108.90606,13224.83243,12515.2602,11269.33959,10464.12016,11366.29806,,,,,
PAS_chr4_0407,4105.640171,6419.745405,2644.971923,7269.659485,7510.91005,8065.212552,5573.664506,9701.95469,10764.48114,7034.75378,11578.55611,10405.11854,16854.51922,,,,,
PAS_chr2-1_0472,1997.266264,2178.134868,5885.201802,6289.136565,7089.999405,9629.2013,9598.949068,6666.302002,8819.670796,8184.396383,10534.12375,10565.21211,13096.69087,,,,,
PAS_FragB_0052,11071.44947,8719.244155,6942.758324,4315.584558,6180.974213,6280.472532,6003.54607,7557.504134,6538.145535,6021.682966,5301.869791,6142.666,6712.934982,,,,,
PAS_chr3_0834,12.9870985,17.38142517,1282.533447,9543.735224,7903.155287,7824.961165,8280.899303,8045.020195,9584.786807,8735.398001,8131.180462,9295.859771,8226.501508,,,,,
PAS_chr2-2_0131,581.3528207,1224.100113,2416.565894,7176.935596,6547.954997,7060.319471,7719.027371,7110.049428,8086.065066,7468.560203,7468.720311,8209.045184,8057.813895,,,,,
PAS_chr3_1028,302.2637002,357.6106959,2532.116371,8454.521353,5748.348758,6417.770873,6687.656527,5791.023801,7487.848373,8006.685012,7338.164603,8394.363533,6993.374846,,,,,
PAS_chr3_0230,4368.310488,1831.471383,1218.425525,1430.349145,3767.175019,6795.443302,3690.110375,7195.064022,4743.393046,3293.637554,5419.880458,7449.336042,13642.56991,,,,,
PAS_chr3_0832,17.355292,18.23503253,374.2244102,6954.159491,5823.269319,5671.139283,6074.614656,5771.139382,7056.778608,6488.193844,6414.67892,7285.03818,6818.18064,,,,,
PAS_chr4_0785,2452.590263,2652.489684,5259.354473,5596.611249,5720.71537,5423.092578,4953.121248,6048.545275,5271.146966,4424.800356,4680.086934,4968.928875,6451.301546,,,,,
PAS_chr2-1_0437,10838.14824,8813.220611,5615.295679,3076.212381,4097.816805,3633.401267,3056.937711,3905.012364,4066.440313,3480.449753,4206.985975,3651.275622,4451.472529,,,,,
PAS_chr2-1_0072,1763.567858,2298.00738,3528.413677,5302.540751,5694.331944,4968.170714,4008.390861,5284.656904,4403.947974,3858.887313,5258.526448,5381.735559,7662.979819,,,,,
PAS_chr1-1_0407,854.8394223,2013.480027,891.3723663,5101.321919,4247.380508,4933.136272,4586.371232,4813.539459,6105.938051,5127.453676,7074.990297,5915.243554,7729.10586,,,,,
PAS_chr2-1_0218,3155.301972,3230.87718,2084.631038,2152.328876,4373.155661,5996.701641,4222.117012,5142.463827,4953.0735,3693.099869,5215.578678,5057.671426,7995.594437,,,,,
PAS_chr4_0589,243.5092311,227.9601308,1367.541934,6260.895031,2264.862556,3643.578236,4613.659272,3624.527962,5626.790727,5762.13851,7678.226024,6993.498211,7154.099297,,,,,
PAS_chr4_0972,178.8795363,931.4373155,10261.26879,6186.875247,4298.418645,4189.948389,3896.388976,2881.121395,3950.806936,3394.570021,4098.689907,3338.320302,3600.973009,,,,,
PAS_chr4_0210,6331.362214,4960.355063,4727.080987,2871.090701,3583.462424,3402.347775,3391.636358,3578.499022,3321.107805,3451.729596,3150.496372,3446.640182,3206.226442,,,,,
PAS_chr4_0786,2045.086835,1563.465799,3706.253843,4757.841216,4151.752994,4452.931326,4446.178176,3863.833204,4105.192891,3610.033925,3883.167709,3730.790772,4299.916629,,,,,
PAS_chr2-2_0392,1969.309007,3064.916158,4829.684495,4487.444011,3577.718784,3400.503016,3233.312647,3286.548026,3555.885678,3287.194757,4132.148114,3896.600569,4641.021403,,,,,
PAS_chr1-1_0302,5892.210649,4566.712865,2592.788865,2139.967547,3349.992463,3306.474839,2941.396275,3751.532095,3073.929682,3204.397682,3413.062393,3197.700777,4085.750671,,,,,
PAS_chr2-1_0429,7978.607855,10598.69378,3597.996663,751.7827872,1899.186597,2536.858754,2564.721613,2867.033046,2050.147722,1869.051173,2138.386659,1836.952134,2159.416451,,,,,
PAS_chr3_0335,7141.127821,5127.92069,2409.675608,2231.412498,2906.175644,2864.25804,2709.21205,2901.128689,2676.365559,2943.116264,2882.854314,2953.903057,3053.684753,,,,,
PAS_chr2-2_0257,5117.910156,3821.760754,2293.014345,2223.757162,3194.838311,3081.936715,2720.220382,3380.532861,3159.280373,2727.605661,3231.750819,3220.88183,4140.261187,,,,,
PAS_chr4_0815,1280.373943,1487.915637,3189.141598,2973.842143,3379.465632,3904.48989,3478.939948,3673.929001,3681.691264,3257.129212,3364.92023,3798.869945,3871.854989,,,,,
PAS_chr4_0018,2695.937142,2247.685591,3880.267186,1892.452302,3490.228874,3257.372952,3119.983699,3322.79785,3155.335882,3079.721428,3200.730792,3247.149225,4070.340685,,,,,
PAS_chr2-1_0481,5883.472933,4265.150645,2711.976351,2221.701622,2781.306339,2796.747487,2573.585511,2755.24142,2597.122168,2977.992307,2541.672002,2793.663799,2638.182856,,,,,
PAS_chr1-3_0300,4895.34766,3581.885999,2352.675987,2606.992841,2983.293716,2915.028584,2848.640552,2841.797163,2723.305271,3015.787661,2942.888935,2875.557625,2842.812057,,,,,
PAS_chr2-1_0779,5262.243652,3861.459619,2539.41257,2292.776003,2744.858514,2680.57398,2636.934048,2839.707052,2635.03383,2929.608336,2689.764152,2791.448735,2693.755292,,,,,
PAS_chr3_0837,1135.459337,1051.467534,2592.667131,2468.795228,4120.823925,3504.78264,3532.601881,3794.721833,3267.180563,3992.652285,3095.942323,3106.547948,2783.046454,,,,,
PAS_chr4_0412,4829.933395,3233.044282,1623.433446,1934.18699,2876.886772,2751.418147,2449.674713,3147.531904,2603.600471,2824.145987,3043.929561,2763.690642,3607.516739,,,,,
PAS_chr2-1_0887,775.0606401,2334.297862,2463.983789,2509.226444,2697.06337,2965.733696,2834.479393,3330.360599,3604.447931,2899.34217,3205.699945,2936.401443,3228.286685,,,,,
PAS_chr4_0627,883.2935811,4886.716552,7263.255313,3314.55431,1636.521748,1114.020196,1247.826376,2854.482307,2986.25994,1801.122242,3537.760055,1714.394763,2198.503492,,,,,
PAS_chr4_0180,5065.80147,3811.171282,2458.645571,1947.479689,2450.815618,2411.659604,2352.444458,2457.748074,2191.130956,2877.795657,2247.176085,2312.402754,2388.989697,,,,,
PAS_chr2-1_0504,111.1852844,133.4834072,851.2469496,3376.677236,2544.377693,2864.158442,3209.352934,3014.540292,3648.903778,3394.637049,3554.750405,3839.427991,3989.544024,,,,,
PAS_chr3_1057,4789.655868,3596.686737,2275.542217,1789.30068,2483.272147,2427.372553,2242.614772,2590.175929,2311.0996,2572.204721,2375.187318,2404.101188,2499.890235,,,,,
PAS_chr1-4_0239,5614.130952,3615.052988,2184.427035,1822.324987,2501.228669,2459.656457,2275.401467,2395.275597,2098.588422,2670.964825,2163.221505,2134.549181,2286.879573,,,,,
PAS_chr4_0348,6519.054983,4642.739402,2717.01224,2006.310199,2206.442079,1948.206475,2063.530451,1972.704394,1966.477234,2400.30667,1869.033771,2003.510131,1660.324915,,,,,
PAS_chr2-1_0210,57.1938675,584.8966431,145.6824798,3086.450572,3631.124705,3271.494496,3117.122239,2966.248625,3547.436304,3928.350274,3502.820796,3367.114007,2733.290064,,,,,
PAS_chr2-2_0326,4670.689888,3460.27022,2137.426524,1806.82657,2520.236181,2245.150898,2089.674129,2681.588939,2262.636422,2316.989689,2479.390064,2414.056343,2765.540216,,,,,
PAS_chr3_1071,23.69523369,34.99465208,102.9384939,5995.726792,3671.892221,3059.647557,2859.281612,2662.143439,3013.126405,2808.986513,2928.705563,3184.344256,3242.561354,,,,,
PAS_chr2-1_0087,4858.797041,3552.242343,2033.888905,1506.855896,2344.481929,2288.887314,1996.508932,2799.980063,2253.100149,2231.959411,2401.794921,2380.09284,2900.993806,,,,,
PAS_chr3_0722,5125.190201,3590.857018,1932.587427,1775.339144,2508.210793,2259.954804,2069.595723,2518.688185,2279.786914,2111.880416,2256.733492,2214.271164,2839.714832,,,,,
PAS_chr1-4_0481,193.0232321,805.9937053,898.6226746,2735.180139,1818.177395,2602.610673,2907.801878,1684.571079,3300.796804,3252.70223,4976.705103,3630.716829,4384.727786,,,,,
PAS_chr1-1_0479,4176.097896,6489.163152,2711.242781,315.9428486,2172.565228,2726.392014,2793.633546,2665.012484,1879.382491,2266.209858,1612.657991,1877.448288,1024.614263,,,,,
PAS_chr1-1_0439,4864.495386,3546.162296,2105.509182,1944.713771,2285.105337,2157.670734,2085.287214,2298.495553,2121.509629,2255.553227,2118.750964,2256.539272,2261.490419,,,,,
PAS_chr1-1_0319,9.654882439,14.37524274,64.66573463,3131.771045,3054.35868,3253.875279,3027.267051,3233.05756,3505.234429,3165.380354,2961.554576,3332.505156,3477.136688,,,,,
PAS_chr4_0413,5150.267451,3771.483976,1981.729604,1728.502732,2359.393742,2186.380007,2043.066112,2280.224585,2128.075427,2102.737773,2008.311854,2134.194109,2257.820189,,,,,
PAS_chr1-4_0570,1628.941483,2011.859688,2272.04706,306.2739977,2906.611207,4139.38468,1841.402684,3729.682099,3257.048655,1535.710828,2334.391111,2885.624499,3249.380555,,,,,
PAS_chr1-3_0264,3689.407081,2711.04534,3036.756061,3458.25073,2773.923121,2317.695869,2087.49117,1608.559119,2128.289541,1959.432717,2301.460461,1907.409191,2053.75416,,,,,
PAS_chr2-1_0362,5573.757224,3949.541035,1834.219109,1625.775622,2365.325193,2053.635733,1877.284322,2220.604856,1990.717485,1877.604233,2011.574033,2039.163418,2356.426986,,,,,
PAS_chr4_0814,4466.665347,3254.887644,2010.248344,1539.154625,2268.22551,2205.107,2006.218936,2428.364011,2201.685627,2085.941881,2199.493272,2205.254828,2739.485878,,,,,
PAS_chr3_0867,62.18128777,103.4700776,554.1707824,3861.008718,3103.269205,2958.495508,2878.435521,2824.142842,3214.889875,3029.218641,2904.612462,3155.9969,2947.98481,,,,,
PAS_chr3_0091,3629.220294,2480.69269,2133.002557,1851.021569,2370.775865,2276.521184,2045.541437,2414.734,2361.492508,2147.385209,2296.145441,2253.016303,2909.480969,,,,,
PAS_chr2-1_0353,2013.562646,1640.145068,1723.728328,1334.733139,2150.202048,2750.23736,2019.55907,2679.933194,2567.889675,2063.261873,2591.150877,2977.152473,3780.706106,,,,,
PAS_chr1-1_0337,3888.424743,3132.33643,1330.364738,1381.537034,1665.969889,2133.352358,1960.215229,2645.041357,2013.233359,2181.520092,2335.14398,2204.018175,2846.566718,,,,,
PAS_chr2-2_0054,3782.072128,2624.169756,1869.22041,1604.325243,2261.792085,2033.267879,1882.109619,2320.184754,2162.651042,1840.914231,2098.498049,2090.027679,2737.08908,,,,,
PAS_chr3_1200,5909.755898,3905.377284,1718.885158,1583.973352,2092.526072,2023.36454,1760.374475,1850.4191,1606.322574,1993.820717,1469.182298,1519.030615,1647.666079,,,,,
PAS_chr3_0099,48.6324052,56.69425877,152.1240029,2552.607674,2096.816412,2596.760604,2865.697906,3017.646185,3289.696321,2915.82242,2938.017952,3165.599091,3242.526915,,,,,
PAS_chr2-1_0428,5594.706935,6798.307582,2445.287993,650.6626514,1362.553829,1718.886953,1840.646077,1793.975877,1355.535176,1252.047435,1277.601111,1228.368782,1297.236344,,,,,
PAS_chr2-1_0584,4763.593462,3411.646878,2104.19876,1482.895565,2041.931565,1878.20403,1701.518786,2076.883678,1773.960907,1706.606149,1744.442785,1852.880753,2006.850373,,,,,
PAS_chr1-1_0072,4534.350182,3383.927575,1978.977915,1593.227704,2008.03066,1987.103875,1675.950284,1586.936428,2055.850069,1730.903754,1916.767887,1786.094003,1692.157568,,,,,
PAS_chr2-1_0658,4393.233669,3047.362695,1906.291039,1480.873339,2173.942758,2005.114236,1632.143617,2064.61068,1817.555978,1697.177724,1681.559975,1706.80668,2253.387292,,,,,
PAS_chr4_0152,17.2526722,20.85480373,91.28160628,4099.729506,2376.361521,2218.275562,2217.631924,1026.962034,2440.420505,2663.674762,3420.087425,3365.800695,3499.344884,,,,,
PAS_chr3_0408,196.3299478,236.8000256,1798.774302,1744.919517,3232.872685,2852.791001,2752.523994,2130.795841,2383.85253,1915.397202,2713.231527,2185.348568,3239.082604,,,,,
PAS_FragB_0061,861.5172689,1457.375001,2329.84676,1784.099799,3438.709792,2170.434902,1792.179034,3487.445883,1862.978887,1489.581527,1982.640696,1763.039148,2855.696442,,,,,
PAS_FragB_0036,4237.146432,3059.381163,1994.128872,1446.258541,1814.295424,1685.019973,1730.381864,1849.884889,1709.358377,1867.05472,1820.473988,1901.421409,1977.929467,,,,,
PAS_chr4_0284,1735.78345,1917.911962,2602.146207,2370.062171,2154.906153,2068.356468,1717.21748,1797.797375,2042.198464,2043.329343,2232.499521,1773.297358,2414.535638,,,,,
PAS_chr3_0596,4775.473407,3370.726756,1835.268384,1237.237032,1776.204398,1656.948579,1579.334638,1736.309585,1641.421535,1607.928079,1782.087657,1805.874637,2015.318303,,,,,
PAS_chr2-1_0486,4043.504108,2892.765144,1850.659775,1456.022889,1973.14381,1764.908401,1651.925931,1879.685334,1803.218336,1683.352692,1872.272388,1786.723425,2158.177737,,,,,
PAS_chr3_0841,231.5155704,261.439451,845.4418008,2866.988859,2368.306693,2438.158812,2576.048922,2364.459708,2692.206276,2516.827127,2364.890622,2731.703312,2284.763446,,,,,
PAS_chr1-1_0107,1697.769961,1121.254347,6399.234438,1692.698954,2336.898867,1676.004331,1662.213213,1679.688394,1392.357719,1561.243011,1507.313393,1840.109353,1850.404759,,,,,
PAS_chr2-1_0086,4274.52066,2991.858074,1867.532472,1562.583543,1921.690352,1727.829501,1665.540248,1803.165954,1673.38691,1670.524146,1698.957107,1716.200864,1808.633809,,,,,
PAS_c131_0011,3585.819321,2428.201068,1711.262158,1605.12244,1912.483187,1826.092639,1785.17412,1946.565496,1863.292171,1919.600071,1890.800998,1889.197823,1967.951379,,,,,
PAS_chr2-1_0483,3031.025137,2743.1743,1399.247783,1354.659479,1801.610183,1728.560724,1778.638818,1965.735258,1726.029081,1829.317013,2250.477495,2211.569568,2396.718789,,,,,
PAS_chr4_0982,4080.375704,2775.065147,1541.215707,1452.670827,1816.850689,1804.545824,1635.591654,1730.491393,1669.898272,1690.127038,1906.076825,1885.892289,2126.866807,,,,,
PAS_chr3_1048,3843.263483,2871.018417,1867.98198,1615.700982,1820.947919,1756.24273,1711.894373,1696.718872,1675.277735,1823.673128,1694.814664,1817.632496,1799.046547,,,,,
PAS_chr1-4_0353,4213.245163,3042.709846,1916.739446,1348.426309,1798.09415,1621.915259,1566.755637,1798.035825,1618.812663,1630.811934,1700.848386,1723.854942,1952.059882,,,,,
PAS_chr1-4_0313,2149.093935,2195.465488,2535.887884,1866.187862,1892.567061,1973.837123,2031.07793,1951.286594,1744.005444,1962.512209,1835.440897,1759.270821,1888.02518,,,,,
PAS_chr3_0194,4443.586778,3012.847575,1996.445595,1344.937423,1772.874668,1687.23231,1588.450363,1853.055409,1624.901322,1806.784975,1475.679876,1548.775762,1535.694185,,,,,
PAS_chr2-1_0728,4078.054023,2941.948601,1952.396554,1361.478101,1785.323808,1665.439332,1558.598951,1803.501288,1633.709967,1574.334426,1598.220556,1613.870514,1734.543664,,,,,
PAS_FragD_0013,4324.743852,3132.192904,1774.241834,1257.898087,1729.300862,1551.223949,1491.653741,1677.134267,1559.093406,1589.244091,1669.385887,1674.908879,1838.683941,,,,,
PAS_chr2-1_0313,1108.680756,2197.937679,664.4280724,585.0426908,1881.820134,2155.122329,2172.8221,2565.260779,2549.255932,2043.101588,2451.284125,2219.667567,2667.637416,,,,,
PAS_chr1-4_0352,3838.405179,2580.647355,1690.81313,1356.218979,1791.265581,1696.298733,1587.13434,1846.80946,1684.649998,1640.467307,1685.236043,1746.575181,1907.581397,,,,,
PAS_chr1-4_0327,369.1865181,659.988315,210.0362382,788.2916219,1844.686657,2038.777494,1602.374291,3830.750157,2803.022749,1765.598649,2728.314168,2438.132672,3811.746746,,,,,
PAS_chr2-2_0199,5155.454613,6816.087556,1680.841296,156.0430012,1034.960273,1501.051965,1564.585954,1662.142094,1077.028304,875.1841971,900.6483234,781.0867194,861.0944153,,,,,
PAS_chr2-2_0127,633.0856969,1073.144813,3078.871709,2000.208474,1796.215851,1878.624586,2027.420609,1545.922281,1806.147871,1971.294934,2009.894373,1999.660237,1870.727866,,,,,
PAS_chr4_0292,3899.933894,2563.931953,1596.645895,1197.297154,1656.118234,1522.389959,1392.464765,1679.787799,1582.795137,1447.076418,1536.902405,1534.310175,1897.098634,,,,,
PAS_chr3_0762,3590.416046,2566.472664,1497.481586,1316.875845,1778.99242,1675.033505,1438.711746,1704.542711,1504.813307,1498.892618,1497.692586,1607.471937,1791.438125,,,,,
PAS_chr4_0267,3316.692422,2379.849193,1570.435894,1057.008047,1696.31746,1581.259355,1446.087715,1887.567875,1544.464633,1519.294254,1661.278031,1602.664373,2036.726673,,,,,
PAS_chr2-1_0853,264.3960919,363.5049323,2632.501828,1942.079783,1869.538956,2056.204193,2140.860789,1496.180942,1694.824768,1803.135368,2307.616533,2171.357892,2127.343789,,,,,
PAS_chr4_0414,4091.778608,2980.63941,1560.200152,1099.44218,1522.752099,1384.828932,1326.327694,1621.886771,1480.783166,1321.650406,1441.618986,1402.023046,1593.587517,,,,,
PAS_chr1-4_0422,3928.974737,2755.26013,1826.256703,1120.130585,1596.227339,1423.33404,1366.488234,1501.78983,1341.689169,1463.79192,1306.555431,1424.108024,1533.932981,,,,,
PAS_chr1-1_0433,2162.241805,1350.661564,562.2200268,1673.450726,1525.757069,1518.647242,1435.064592,1769.94792,1960.839489,1619.342646,2131.834302,2012.899451,2777.301622,,,,,
